问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,803,51,T:System.Windows.Forms.NumericUpDown,,,,,nmu_DelayForGetCurrent
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,802,43,T:System.Windows.Forms.Label,,,,,label18
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,801,43,T:System.Windows.Forms.Label,,,,,label2
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,800,51,T:System.Windows.Forms.NumericUpDown,,,,,num_SleepUpLoopDelay
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,799,51,T:System.Windows.Forms.NumericUpDown,,,,,num_MaxSleepCurrent
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,798,43,T:System.Windows.Forms.Label,,,,,label1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,797,43,T:System.Windows.Forms.Label,,,,,label21
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,796,43,T:System.Windows.Forms.Label,,,,,label20
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,795,46,T:System.Windows.Forms.ComboBox,,,,,com_VirPadPort
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,794,44,T:System.Windows.Forms.Button,,,,,btnClearLog2
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,793,46,T:System.Windows.Forms.CheckBox,,,,,chk_DLLDebugLoop
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,792,44,T:System.Windows.Forms.Button,,,,,btn_Test
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,791,54,T:System.Windows.Forms.TableLayoutPanel,,,,,tablePanel_DLLDebugParam
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,790,43,T:System.Windows.Forms.Panel,,,,,panel1
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,789,44,T:System.Windows.Forms.Button,,,,,btn_FlashTJ
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,BLE48Test1\BLE48Test1.csproj,File,BLE48Test1\UserControls\uc_SleepLoopTest.Designer.cs,788,45,T:System.Windows.Forms.TextBox,,,,,txt_TJ
